institution,femaleLeft,femaleDifferent,femaleSame,maleLeft,maleDifferent,maleSame
263,50,30,20,37.5,18.75,43.75
43,33.33333333,20,46.66666667,23.49726776,9.836065574,66.66666667
13,32.47962747,11.1757858,56.34458673,34.13124226,8.928325767,56.94043197
216,31.87066975,30.13856813,37.99076212,29.49350067,21.54489765,48.96160167
361,31.23543124,15.85081585,52.91375291,28.0239521,11.20958084,60.76646707
424,30,16.66666667,53.33333333,27.41679873,17.27416799,55.30903328
370,29.14979757,15.78947368,55.06072874,27.55186722,7.302904564,65.14522822
205,28.04232804,11.11111111,60.84656085,28.50146915,10.96963761,60.52889324
123,27.61904762,7.619047619,64.76190476,23.41389728,12.99093656,63.59516616
83,22.56410256,16.41025641,61.02564103,20.78078078,12.55255255,66.66666667
120,22.31404959,10.33057851,67.3553719,23.76237624,6.710671067,69.5269527
143,21.05263158,10.52631579,68.42105263,18.86792453,2.830188679,78.30188679
462,20.28985507,20.28985507,59.42028986,21.28060264,8.662900188,70.05649718
489,19.9376947,35.20249221,44.85981308,26.17000955,22.69977714,51.13021331
490,17.61658031,12.95336788,69.43005181,13.69863014,7.397260274,78.90410959
46,17.24137931,9.195402299,73.56321839,11.72022684,4.914933837,83.36483932
114,15.58441558,27.27272727,57.14285714,15.6133829,17.84386617,66.54275093
435,15.50802139,11.76470588,72.72727273,16.35026738,9.331550802,74.31818182
117,15.12237762,18.00699301,66.87062937,15.4805492,13.94736842,70.57208238
128,14.63414634,14.63414634,70.73170732,22.16066482,13.388735,64.45060018
112,13.7755102,15.30612245,70.91836735,18.54636591,6.26566416,75.18796992
295,13.43283582,16.41791045,70.14925373,22.46220302,10.58315335,66.95464363
249,12.61904762,14.52380952,72.85714286,10.83455344,10.0658858,79.09956076
238,11.97916667,15.625,72.39583333,14.38877756,10.3006012,75.31062124
194,11.4790287,14.12803532,74.39293598,14.32006996,10.49409707,75.18583297
388,11.32075472,11.94968553,76.72955975,16.30565584,7.400722022,76.29362214
324,10.95890411,18.90410959,70.1369863,11.02222222,8.355555556,80.62222222
41,10.38525963,11.22278057,78.3919598,10.92808357,6.408196063,82.66372037
54,10.3626943,13.98963731,75.64766839,19.98016857,6.941001487,73.07882995
84,9.523809524,4.761904762,85.71428571,9.5,9.5,81
493,9.011373578,12.42344707,78.56517935,11.84985693,7.793300791,80.35684228
373,8.914728682,10.27131783,80.81395349,11.07617051,6.848357792,82.0754717
68,8.74251497,11.53692615,79.72055888,12.26342955,7.101892564,80.63467788
182,8.603238866,11.63967611,79.75708502,10.98921884,8.624929071,80.38585209
456,8.571428571,27.14285714,64.28571429,7.843137255,15.19607843,76.96078431
85,8.044806517,4.175152749,87.78004073,9.38559322,4.872881356,85.74152542
319,7.829181495,22.06405694,70.10676157,8.653093187,10.25841817,81.08848865
72,7.234726688,9.967845659,82.79742765,9.433962264,7.389937107,83.17610063
336,7.216494845,3.092783505,89.69072165,11.2033195,4.460580913,84.33609959
287,6.356736243,31.49905123,62.14421252,7.260133402,28.29656234,64.44330426
430,6.191744341,14.04793609,79.76031957,8.083948698,8.718745952,83.19730535
75,6.188925081,9.120521173,84.69055375,8.793969849,8.354271357,82.85175879
157,5.990220049,6.234718826,87.77506112,9.756097561,5.057059745,85.18684269
6,5.675146771,25.63600783,68.6888454,8.415990382,17.6735798,73.91042982
331,5.555555556,16.66666667,77.77777778,18.84057971,2.898550725,78.26086957
64,4.175824176,7.985347985,87.83882784,6.461292258,3.50070014,90.0380076
346,4.159132007,8.137432188,87.7034358,6.95715855,2.929329916,90.11351153
131,3.875968992,6.976744186,89.14728682,5.409836066,2.62295082,91.96721311
110,3.614457831,12.47150765,83.91403452,6.182837564,9.645434252,84.17172818
469,3.396603397,7.292707293,89.31068931,5.288461538,6.25,88.46153846
97,3.225806452,8.064516129,88.70967742,6.537102473,7.155477032,86.30742049
38,3.144654088,29.55974843,67.29559748,5.245231608,26.43051771,68.32425068
437,2.524271845,2.330097087,95.14563107,3.690987124,1.909871245,94.39914163
29,2.380952381,21.42857143,76.19047619,2.551020408,17.60204082,79.84693878
26,2.112676056,3.521126761,94.36619718,1.506849315,1.917808219,96.57534247
500,2.100840336,2.521008403,95.37815126,5.745062837,0.957510473,93.29742669
200,1.207243461,2.816901408,95.97585513,3.694968553,3.066037736,93.23899371
422,1.112347052,8.008898776,90.87875417,1.81356547,5.658324266,92.52811026
487,0.870552612,17.90310371,81.22634368,0.92358804,17.59468439,81.48172757
475,0.512820513,10.76923077,88.71794872,0,6.147540984,93.85245902
88,0,0.570342205,99.42965779,0.187717887,0.992223116,98.820059
369,0,0,100,0,0,100
412,0,25,75,0,9.714285714,90.28571429
146,0,27.10280374,72.89719626,0,25.8126195,74.1873805
18,0,0,100,13.04347826,13.04347826,73.91304348